종목명,RSI
삼성전자,88.50763264829857
SK하이닉스,90.09829090425586
현대차,90.34739340664139
POSCO홀딩스,69.23076548717034
NAVER,64.55925080139096
기아,98.06447244814191
셀트리온,76.75681634939289
LG화학,66.85760336580225
카카오,66.96427478695196
KB금융,65.88246068780057
신한지주,79.68765342653705
SK이노베이션,63.596495206305725
포스코퓨처엠,60.98654947501048
삼성SDI,64.12650162095956
SK,68.94972090339712
삼성생명,78.99859478962289
한국전력,31.343334878276792
현대모비스,71.18646031870408
하나금융지주,68.00001130951455
LG전자,78.7752793704215
KT&G,47.18728871688339
SK텔레콤,64.02533395156328
S-Oil,86.73915847737881
우리금융지주,63.88878427828095
삼성화재,60.0
삼성에스디에스,64.37835325299537
HMM,66.67554522462552
삼성전기,68.26657530990218
한국가스공사,19.999979624084745
기업은행,52.05479241264805
